,Foldchange,stat,pvalue,FDR,comparison,group1,group2
YWHAE,-0.1701665218231215,-1.3485683149059504,0.1774756636426431,0.999247160775692,2_vs_0,2,0
ADRM1,-0.1574092039431905,-1.3483070931950896,0.17755963166519495,0.999247160775692,2_vs_0,2,0
RASGRP2,-0.18377824880395943,-1.3454949026948917,0.17846546629591142,0.999247160775692,2_vs_0,2,0
SMIM26,-0.1590354849123908,-1.3440177751849138,0.17894263901719631,0.999247160775692,2_vs_0,2,0
ZC3H15,-0.16407322050955309,-1.341102536585693,0.1798871638636761,0.999247160775692,2_vs_0,2,0
OTUB1,-0.22151464890255748,-1.337875562600693,0.18093700450905292,0.999247160775692,2_vs_0,2,0
CDC37,-0.27797726404868756,-1.3375955285123005,0.18102832286287573,0.999247160775692,2_vs_0,2,0
ELOB,-1.0109554629345423,-1.3273107177581591,0.1844059199139524,0.999247160775692,2_vs_0,2,0
NDUFB6,-0.1553142014812447,-1.314345986605875,0.18872979831014836,0.999247160775692,2_vs_0,2,0
RAB11B,-0.1566396129222109,-1.3120212409972714,0.18951296777681192,0.999247160775692,2_vs_0,2,0
AUP1,-0.15610545512750607,-1.309380817630158,0.19040538593630563,0.999247160775692,2_vs_0,2,0
MRPL28,-0.15158840730365017,-1.306639017361616,0.19133533881225118,0.999247160775692,2_vs_0,2,0
AHNAK,-0.4686617885111756,-1.3019187640844903,0.19294415728937453,0.999247160775692,2_vs_0,2,0
NFKBIA,-4.969709621011566,-1.298157275090481,0.1942332962408847,0.999247160775692,2_vs_0,2,0
LAT2,-0.16222184961404848,-1.2954941748058382,0.19514980957121786,0.999247160775692,2_vs_0,2,0
NDUFS8,-0.24764942202752996,-1.2905399568634364,0.19686324793635923,0.999247160775692,2_vs_0,2,0
ILK,-0.14634961638178465,-1.2791472457777322,0.20084520888869561,0.999247160775692,2_vs_0,2,0
AKR1A1,-0.15775841767868662,-1.2743116862541035,0.2025529765258708,0.999247160775692,2_vs_0,2,0
ATP6V0B,-0.6869661833226359,-1.2621367146827116,0.20689959607360053,0.999247160775692,2_vs_0,2,0
NDUFB9,-0.46984267280878295,-1.2604997573361163,0.20748913537587654,0.999247160775692,2_vs_0,2,0
GTF3C6,-0.14988999546237936,-1.2589544819828307,0.20804677331289434,0.999247160775692,2_vs_0,2,0
SNRPB,-0.1906585713766611,-1.2566055617075074,0.20889649981350944,0.999247160775692,2_vs_0,2,0
SCNM1,-0.14698171349137645,-1.2560540728057759,0.20909636599789128,0.999247160775692,2_vs_0,2,0
CHCHD5,-0.1565865316481931,-1.2556393948360471,0.20924674148062872,0.999247160775692,2_vs_0,2,0
SASH3,-0.15024504085989743,-1.2518806591499425,0.21061335326784647,0.999247160775692,2_vs_0,2,0
KDELR1,-0.24786849593501492,-1.2507654725009643,0.2110200553925745,0.999247160775692,2_vs_0,2,0
TRABD,-0.15393377943751746,-1.2485671744451845,0.21182342470927262,0.999247160775692,2_vs_0,2,0
TMEM59,-0.28230665149131456,-1.2468639927579612,0.2124473714338294,0.999247160775692,2_vs_0,2,0
CST3,-6.965098606724374,-1.2464767249553035,0.21258942889178267,0.999247160775692,2_vs_0,2,0
EIF1B,-0.15211736178717847,-1.2462507605517088,0.2126723487717137,0.999247160775692,2_vs_0,2,0
RNF130,-0.3034614352646831,-1.2461833977618337,0.21269707273457683,0.999247160775692,2_vs_0,2,0
POLR2L,-0.3908984691141335,-1.2429302869536072,0.21389352380400528,0.999247160775692,2_vs_0,2,0
UQCRC1,-0.22379006342283886,-1.2410664369668045,0.21458120700839745,0.999247160775692,2_vs_0,2,0
CANX,-0.1719209756041812,-1.2282882904251013,0.2193387650938995,0.999247160775692,2_vs_0,2,0
SSR4,-0.7626423749520643,-1.2231399127532823,0.22127685581217882,0.999247160775692,2_vs_0,2,0
CD74,-7.991409874954276,-1.2222364938075303,0.22161820700475965,0.999247160775692,2_vs_0,2,0
MEA1,-0.14064789658834537,-1.2205111616076756,0.22227116094122934,0.999247160775692,2_vs_0,2,0
COPS9,-0.21848788464891353,-1.2203739263935887,0.222323156847553,0.999247160775692,2_vs_0,2,0
SCP2,-0.16547185919641746,-1.215349046271199,0.22423299299780164,0.999247160775692,2_vs_0,2,0
DNAJC8,-0.18717142546538834,-1.2079368733389795,0.22707154489669734,0.999247160775692,2_vs_0,2,0
HNRNPA2B1,-0.9608177972324426,-1.2005348055884315,0.22993170351287606,0.999247160775692,2_vs_0,2,0
TYROBP,-5.364504869140306,-1.1985392976363087,0.23070713378147834,0.999247160775692,2_vs_0,2,0
TMED10,-0.15274552048645607,-1.1974997165723087,0.23111183796337653,0.999247160775692,2_vs_0,2,0
CORO1A,-1.5286445328821265,-1.1962073686755288,0.23161564603952411,0.999247160775692,2_vs_0,2,0
BID,-0.15700238250028287,-1.1951454796103553,0.23203019552353144,0.999247160775692,2_vs_0,2,0
CISD3,-0.17622944311100255,-1.1948561655090668,0.2321432317233144,0.999247160775692,2_vs_0,2,0
PRKCB,-0.1484400841923922,-1.1931117612405513,0.23282560595343482,0.999247160775692,2_vs_0,2,0
UQCR11,-0.5695112397413932,-1.1923432824472022,0.23312666973910035,0.999247160775692,2_vs_0,2,0
PCMT1,-0.13827596519114693,-1.1845009644380853,0.23621481474017736,0.999247160775692,2_vs_0,2,0
CCDC124,-0.15655768132749248,-1.1786957478324065,0.23851934944842457,0.999247160775692,2_vs_0,2,0
CD63,-0.8197108593559984,-1.1752883916029526,0.23987935714499664,0.999247160775692,2_vs_0,2,0
TIMM17B,-0.16828020143731737,-1.1674307491016602,0.24303645942933938,0.999247160775692,2_vs_0,2,0
AP2S1,-0.5904558533701629,-1.1642812209386049,0.2443100642982271,0.999247160775692,2_vs_0,2,0
RPLP1,-9.288931362965707,-1.1642784700932447,0.2443111787283082,0.999247160775692,2_vs_0,2,0
PNPLA2,-0.16401148292714673,-1.1622654175472287,0.24512766935133168,0.999247160775692,2_vs_0,2,0
TGOLN2,-0.1646508450671884,-1.1595431426061698,0.24623486158016272,0.999247160775692,2_vs_0,2,0
ATP6V0C,-0.5450588773306229,-1.158391744633498,0.24670420653530367,0.999247160775692,2_vs_0,2,0
CCT5,-0.14205798772109307,-1.1577918761412247,0.24694897942100402,0.999247160775692,2_vs_0,2,0
ZMAT2,-0.14226074187339446,-1.1554738494354213,0.24789643540238326,0.999247160775692,2_vs_0,2,0
MPHOSPH8,-0.16480425909150678,-1.1450165022846661,0.25220232149354915,0.999247160775692,2_vs_0,2,0
PTP4A2,-0.171828799187064,-1.1410503424585194,0.2538489740512504,0.999247160775692,2_vs_0,2,0
SNX2,-0.1540759995679554,-1.1405439563494408,0.2540597506970822,0.999247160775692,2_vs_0,2,0
MAP2K3,-0.13965789233677497,-1.1377080816407585,0.2552423976802414,0.999247160775692,2_vs_0,2,0
ATP6AP1,-0.15602397925423384,-1.1374546348828227,0.2553482787782816,0.999247160775692,2_vs_0,2,0
PRDX5,-0.47742938229123116,-1.1348711966448521,0.25642928987602054,0.999247160775692,2_vs_0,2,0
EIF3A,-0.16312078311122907,-1.1348159240849804,0.2564524527392822,0.999247160775692,2_vs_0,2,0
DUSP1,-3.495394795379992,-1.1341596266191418,0.25672759589720584,0.999247160775692,2_vs_0,2,0
ARRDC1,-0.1312497227560503,-1.12995828278122,0.2584938033248758,0.999247160775692,2_vs_0,2,0
ACAA1,-0.14079906434475664,-1.1277580413650792,0.2594221179356704,0.999247160775692,2_vs_0,2,0
CAPG,-0.4995687139812015,-1.1225282236013632,0.2616379142510161,0.999247160775692,2_vs_0,2,0
FAM96A,-0.16015067456683227,-1.1211870100957455,0.2622082678370252,0.999247160775692,2_vs_0,2,0
CTSH,-0.3040845576151541,-1.1204952637209387,0.26250276978082643,0.999247160775692,2_vs_0,2,0
H2AFY,-0.34332679552136325,-1.1144338105465725,0.26509312521957606,0.999247160775692,2_vs_0,2,0
RGS19,-0.3234274716405291,-1.1139387131493947,0.26530547984571473,0.999247160775692,2_vs_0,2,0
PIN1,-0.1349838723454742,-1.113432640274657,0.26552266308910766,0.999247160775692,2_vs_0,2,0
CCDC107,-0.12868913255306316,-1.111656659576382,0.26628580113110345,0.999247160775692,2_vs_0,2,0
FLNA,-0.6333979850311678,-1.1115904528657017,0.26631427927777307,0.999247160775692,2_vs_0,2,0
VASP,-0.28459186118649743,-1.1108639758839265,0.2666269036841371,0.999247160775692,2_vs_0,2,0
HSPD1,-0.1317572558805311,-1.10964095319066,0.2671537764483578,0.999247160775692,2_vs_0,2,0
CALM1,-1.653456931506005,-1.1096381942819002,0.26715496578282605,0.999247160775692,2_vs_0,2,0
XRN2,-0.17622107298664566,-1.1079662529923604,0.2678763905988034,0.999247160775692,2_vs_0,2,0
RAP1A,-0.16267927447058605,-1.1033488743968558,0.2698756896833385,0.999247160775692,2_vs_0,2,0
SCAMP2,-0.16197369828661595,-1.1032595832661805,0.2699144528583829,0.999247160775692,2_vs_0,2,0
DDRGK1,-0.14513213026078084,-1.1011253233151401,0.2708421170682681,0.999247160775692,2_vs_0,2,0
FAM173A,-0.12671421634553878,-1.1009957165511328,0.270898521429775,0.999247160775692,2_vs_0,2,0
NUDC,-0.14258528889354466,-1.1005946805930142,0.2710731017124678,0.999247160775692,2_vs_0,2,0
M6PR,-0.15646092343166157,-1.100199999551645,0.2712449908026333,0.999247160775692,2_vs_0,2,0
ITGB1,-0.14427821292103127,-1.098288640944978,0.2720784703985095,0.999247160775692,2_vs_0,2,0
IER2,-2.298576662616233,-1.096937038214947,0.27266891632842005,0.999247160775692,2_vs_0,2,0
LSM3,-0.13861840872034345,-1.0961659276696283,0.27300616744888084,0.999247160775692,2_vs_0,2,0
TCF25,-0.2793290725807853,-1.0945389446248859,0.2737186766854688,0.999247160775692,2_vs_0,2,0
SNRNP70,-0.128322588476027,-1.0902079022748021,0.27562157316988145,0.999247160775692,2_vs_0,2,0
PSMD7,-0.13478331916340772,-1.0895927831233099,0.27589256353389835,0.999247160775692,2_vs_0,2,0
SNRPF,-0.12863485252066859,-1.086210637826389,0.27738581193277567,0.999247160775692,2_vs_0,2,0
PTGER2,-0.12979099437149919,-1.085122154097229,0.2778675564022388,0.999247160775692,2_vs_0,2,0
C9orf16,-0.3921400571949118,-1.08503710949358,0.27790521968212245,0.999247160775692,2_vs_0,2,0
PSMD4,-0.1676611258737504,-1.0848822647775973,0.27797380391511517,0.999247160775692,2_vs_0,2,0
ABI3,-0.16738514903184187,-1.0843355560748054,0.27821604574634984,0.999247160775692,2_vs_0,2,0
DNAJC1,-0.1274197157891011,-1.0812772115346896,0.27957382118246366,0.999247160775692,2_vs_0,2,0
JAML,-0.2260389164790344,-1.0808249496940805,0.27977498794628664,0.999247160775692,2_vs_0,2,0
LSM7,-0.34325283832065456,-1.0800464043531128,0.2801215165121915,0.999247160775692,2_vs_0,2,0
